adf-qa adf-cargapreviaprecios-qa-s2i-12-qrrxx 
adf-qa adf-cargapreviaprecios-qa-s2i-9-build 
adf-qa adf-descargalayouts-qa-s2i-12-build 
adf-qa adf-descargalayouts-qa-s2i-13-build 
adf-qa adf-descargalayouts-qa-s2i-14-build 
adf-qa adf-descargalayouts-qa-s2i-21-bl6tf 
aut-sica-qa sica-config-negocios-5-nkvc2 http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=apr-otplocalservice-qa-s2i-2-jcrbn.json
aut-sica-qa sica-config-paquetes-3-sfzpv http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=apr-otplocalservice-qa-s2i-2-jcrbn.json
aut-sica-qa sica-config-registros-1-2wdlh http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=apr-otplocalservice-qa-s2i-2-jcrbn.json
aut-sica-qa sica-config-regtrans-2-2mp44 http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=apr-otplocalservice-qa-s2i-2-jcrbn.json
aut-sica-qa sica-config-reportes-1-hfxvj http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=apr-otplocalservice-qa-s2i-2-jcrbn.json
aut-sica-qa sica-config-server-2-7stbm http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=apr-otplocalservice-qa-s2i-2-jcrbn.json
aut-sica-qa sica-config-tarifas-2-pdl6x http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=apr-otplocalservice-qa-s2i-2-jcrbn.json
aut-sica-qa sica-config-tpr-2-xfbwh http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=apr-otplocalservice-qa-s2i-2-jcrbn.json
aut-sica-qa sica-discovery-qa-s2i-1-b6m5c http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=apr-otplocalservice-qa-s2i-2-jcrbn.json
aut-sica-qa sica-dom-impresiones-2-rp4hk http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=apr-otplocalservice-qa-s2i-2-jcrbn.json
aut-sica-qa sica-dominios-qa-s2i-3-lw65n http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=apr-otplocalservice-qa-s2i-2-jcrbn.json
aut-sica-qa sica-emisor-s2i-1-build http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=apr-otplocalservice-qa-s2i-2-jcrbn.json
aut-sica-qa sica-info-qa-s2i-1-r9l6l http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=apr-otplocalservice-qa-s2i-2-jcrbn.json
aut-sica-qa sica-reportes-qa-s2i-2-rzvcw http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=apr-otplocalservice-qa-s2i-2-jcrbn.json
aut-sica-qa sica-umos-qa-s2i-12-2lgld http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=apr-otplocalservice-qa-s2i-2-jcrbn.json
aut-sica-qa sica-umos-qa-s2i-7-build http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=apr-otplocalservice-qa-s2i-2-jcrbn.json
aut-sica-qa sica-web-app-3-7hftv http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=apr-otplocalservice-qa-s2i-2-jcrbn.json
aut-sica-qa sica-web-app-4-deploy http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=apr-otplocalservice-qa-s2i-2-jcrbn.json
aut-traductores-qa armado-digital-qa-s2i-1-jdgph http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=armado-digital-qa-s2i-1-jdgph.json
cicd jenkins-1-jrnhh http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=armado-digital-qa-s2i-1-jdgph.json
crm-qa crm-accesousuario-qa-s2i-1-wvff6 http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=crm-accesousuario-qa-s2i-1-wvff6.json
crm-qa crm-actualizapersona-qa-s2i-1-5mf22 http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=crm-actualizapersona-qa-s2i-1-5mf22.json
crm-qa crm-actualizapersonabup-qa-s2i-43-build http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=crm-actualizapersona-qa-s2i-1-5mf22.json
crm-qa crm-actualizapersonabup-qa-s2i-8-rhs9n http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=crm-actualizapersonabup-qa-s2i-8-rhs9n.json
crm-qa crm-actualizapersonainfo-qa-s2i-3-gwrg2 http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=crm-actualizapersonainfo-qa-s2i-3-gwrg2.json
crm-qa crm-actualizapersonainfo-qa-s2i-36-build http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=crm-actualizapersonainfo-qa-s2i-3-gwrg2.json
crm-qa crm-actualizapersonaorq-qa-s2i-68-build http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=crm-actualizapersonainfo-qa-s2i-3-gwrg2.json
crm-qa crm-actualizapersonaorq-qa-s2i-8-7g4pj http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=crm-actualizapersonaorq-qa-s2i-8-7g4pj.json
crm-qa crm-agentes-qa-s2i-31-build http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=crm-actualizapersonaorq-qa-s2i-8-7g4pj.json
crm-qa crm-agentes-qa-s2i-5-gdlbs http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=crm-agentes-qa-s2i-5-gdlbs.json
crm-qa crm-autos-qa-s2i-1-5rrdl http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=crm-autos-qa-s2i-1-5rrdl.json
crm-qa crm-consultapersona-qa-s2i-3-d9dww http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=crm-consultapersona-qa-s2i-3-d9dww.json
crm-qa crm-consultapersona-qa-s2i-41-build http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=crm-consultapersona-qa-s2i-3-d9dww.json
crm-qa crm-consultapolizadetalle-qa-s2i-1-7bf52 http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=crm-consultapolizadetalle-qa-s2i-1-7bf52.json
crm-qa crm-consultapolizageneral-qa-s2i-1-bjscj http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=crm-consultapolizageneral-qa-s2i-1-bjscj.json
crm-qa crm-consultapolizaresumen-qa-s2i-1-cfbtf http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=crm-consultapolizaresumen-qa-s2i-1-cfbtf.json
crm-qa crm-consultaproveedores-qa-s2i-1-mr4wd http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=crm-consultaproveedores-qa-s2i-1-mr4wd.json
crm-qa crm-consultasingmm-qa-s2i-1-8t9cn http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=crm-consultasingmm-qa-s2i-1-8t9cn.json
crm-qa crm-consultasingmmrecla-qa-s2i-12-build http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=crm-consultasingmm-qa-s2i-1-8t9cn.json
crm-qa crm-consultasingmmrecla-qa-s2i-5-9x6q2 http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=crm-consultasingmmrecla-qa-s2i-5-9x6q2.json
crm-qa crm-historialclinico-qa-s2i-1-h5wtv http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=crm-historialclinico-qa-s2i-1-h5wtv.json
crm-qa crm-listasrestringidas-qa-s2i-2-g7zlz http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=crm-listasrestringidas-qa-s2i-2-g7zlz.json
crm-qa crm-magentareceiver-qa-s2i-3-czcpp http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=crm-magentareceiver-qa-s2i-3-czcpp.json
crm-qa crm-magentasender-qa-s2i-19-build http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=crm-magentareceiver-qa-s2i-3-czcpp.json
crm-qa crm-magentasender-qa-s2i-4-hmkcb http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=crm-magentasender-qa-s2i-4-hmkcb.json
crm-qa crm-pld-qa-s2i-1-m27sv http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=crm-pld-qa-s2i-1-m27sv.json
crm-qa crm-polizaautos-qa-s2i-1-qtqtm http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=crm-polizaautos-qa-s2i-1-qtqtm.json
crm-qa crm-polizagmm-qa-s2i-1-5wqgt http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=crm-polizagmm-qa-s2i-1-5wqgt.json
crm-qa crm-reportelistasrestringidas-qa-s2i-1-tbz5b http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=crm-reportelistasrestringidas-qa-s2i-1-tbz5b.json
crm-qa crm-utilerias-qa-s2i-1-89dss http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=crm-utilerias-qa-s2i-1-89dss.json
default container-collector-3-mwxzl http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=crm-utilerias-qa-s2i-1-89dss.json
default docker-registry-8-4qs2j http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=crm-utilerias-qa-s2i-1-89dss.json
default docker-registry-8-kcxrd http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=crm-utilerias-qa-s2i-1-89dss.json
default docker-registry-8-nlz7c http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=crm-utilerias-qa-s2i-1-89dss.json
default registry-console-1-vbgvz http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=crm-utilerias-qa-s2i-1-89dss.json
default router-1-7trwb http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=crm-utilerias-qa-s2i-1-89dss.json
default router-1-hwmsl http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=crm-utilerias-qa-s2i-1-89dss.json
default router-1-vlcnz http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=crm-utilerias-qa-s2i-1-89dss.json
